datetime,upper_band,middle_band,lower_band,open,high,low,close,volume
2023-04-26 10:24:00,213.71191,211.93796,210.16401,210.67999,210.83000,210.64011,210.70000,52177
2023-04-26 10:23:00,213.77043,212.04696,210.32348,210.86520,210.86520,210.67999,210.67999,60901
2023-04-26 10:22:00,213.82603,212.16696,210.50789,210.85001,210.92000,210.67000,210.88000,73862
2023-04-26 10:21:00,213.89278,212.28396,210.67515,211.21001,211.21001,210.82201,210.88000,86413
2023-04-26 10:20:00,213.88286,212.38696,210.89107,210.98990,211.25000,210.89999,211.20869,64773
2023-04-26 10:19:00,213.93158,212.49053,211.04947,211.08000,211.14999,210.90199,210.98511,86595
2023-04-26 10:18:00,213.98149,212.62577,211.27005,211.31000,211.32010,211.03999,211.10001,77635
2023-04-26 10:17:00,214.05408,212.76922,211.48435,211.53000,211.53000,211.22000,211.33000,90356
2023-04-26 10:16:00,214.02113,212.87922,211.73730,211.82001,211.91000,211.46001,211.53281,73613
2023-04-26 10:15:00,213.95697,212.97408,211.99118,212.21989,212.21989,211.78999,211.82001,80949
2023-04-26 10:14:00,213.89564,213.05283,212.21001,212.42500,212.47990,212.17999,212.22000,54579
2023-04-26 10:13:00,213.84375,213.09082,212.33790,212.44009,212.67999,212.34010,212.44000,99641
2023-04-26 10:12:00,213.82186,213.12957,212.43729,212.86000,212.97000,212.44000,212.44910,97544
2023-04-26 10:11:00,213.81476,213.18137,212.54798,212.72000,212.88000,212.54070,212.88000,67086
2023-04-26 10:10:00,213.82243,213.17522,212.52802,212.92500,213.17000,212.64000,212.74001,80876
2023-04-26 10:09:00,213.84441,213.16522,212.48604,212.89500,213.02000,212.80000,212.92000,70770
2023-04-26 10:08:00,213.91769,213.13074,212.34379,212.92999,212.93980,212.64110,212.85840,95746
2023-04-26 10:07:00,213.98838,213.09434,212.20031,213.24001,213.24001,212.87500,212.92000,98222
2023-04-26 10:06:00,214.15755,213.02284,211.88814,212.97000,213.39000,212.92000,213.27499,126409
2023-04-26 10:05:00,214.30220,212.91759,211.53299,212.89000,213.14000,212.78000,212.94000,105592
2023-04-26 10:04:00,214.38870,212.83574,211.28278,213.09500,213.09500,212.72000,212.88000,120166
2023-04-26 10:03:00,214.41500,212.77174,211.12848,213.23000,213.34000,213.03999,213.08009,78125
2023-04-26 10:02:00,214.45570,212.67523,210.89477,212.94000,213.30000,212.89999,213.22000,97798
2023-04-26 10:01:00,214.49082,212.55473,210.61865,213.28000,213.28250,212.92999,212.94000,109043
2023-04-26 10:00:00,214.47860,212.46973,210.46087,213.67000,213.74001,213.14661,213.28000,137087
2023-04-26 09:59:00,214.45922,212.33810,210.21699,213.98000,214.08000,213.58000,213.69000,140843
2023-04-26 09:58:00,214.32301,212.19201,210.06102,213.53999,214.11000,213.49001,213.96890,175226
2023-04-26 09:57:00,214.12524,212.00971,209.89419,213.42999,213.72000,213.30000,213.53000,90346
2023-04-26 09:56:00,213.94465,211.86196,209.77928,213.34019,213.71001,213.30000,213.42999,95593
2023-04-26 09:55:00,213.77650,211.69846,209.62043,212.97000,213.58000,212.94000,213.39500,139727
2023-04-26 09:54:00,213.62514,211.50872,209.39229,213.19000,213.19000,212.81000,212.98000,91643
2023-04-26 09:53:00,213.52871,211.32722,209.12572,213.53999,213.66000,212.81000,213.21500,194168
2023-04-26 09:52:00,213.31865,211.13331,208.94797,212.79500,213.72000,212.78000,213.48500,249414
2023-04-26 09:51:00,212.92188,210.94856,208.97524,212.63631,212.84000,212.45000,212.75710,122901
2023-04-26 09:50:00,212.65600,210.79521,208.93441,212.23000,212.64999,212.17999,212.53999,106756
2023-04-26 09:49:00,212.39445,210.71271,209.03096,212.14169,212.37570,212.14169,212.23039,81191
2023-04-26 09:48:00,212.51823,210.47814,208.43805,211.47000,212.13040,211.46500,212.13040,144262
2023-04-26 09:47:00,212.51563,210.24818,207.98073,211.14999,211.49001,211.00000,211.49001,71315
2023-04-26 09:46:00,212.53859,210.04768,207.55676,211.27361,211.58000,211.11011,211.17000,86481
2023-04-26 09:45:00,212.57842,209.84718,207.11594,211.57001,211.80000,211.07001,211.30290,89731
2023-04-26 09:44:00,212.50937,209.64553,206.78169,211.14000,211.75500,211.07001,211.60001,140598
2023-04-26 09:43:00,212.31494,209.43353,206.55212,210.85001,211.22000,210.82001,211.14999,122533
2023-04-26 09:42:00,212.14740,209.24403,206.34066,211.27000,211.44000,210.50000,210.81000,142654
2023-04-26 09:41:00,211.97951,209.08191,206.18430,210.66000,211.35001,210.45000,211.24001,138185
2023-04-26 09:40:00,211.68105,208.90866,206.13626,210.73550,211.03580,210.36000,210.64740,134883
2023-04-26 09:39:00,211.45796,208.76679,206.07561,210.39500,210.78000,210.24001,210.76820,106937
2023-04-26 09:38:00,211.17681,208.61513,206.05345,210.55200,210.66000,210.14999,210.32291,90550
2023-04-26 09:37:00,210.94843,208.49798,206.04753,210.25999,210.72260,209.86000,210.57500,123871
2023-04-26 09:36:00,210.63580,208.37523,206.11466,209.67000,210.18910,209.42999,210.16000,115780
2023-04-26 09:35:00,210.37861,208.26873,206.15885,209.30840,210.27000,209.22000,209.60001,133900
2023-04-26 09:34:00,210.21454,208.19473,206.17492,209.38000,209.42990,208.88000,209.35001,146161
2023-04-26 09:33:00,210.08084,208.13173,206.18262,209.78999,209.93311,209.33690,209.33690,125905
2023-04-26 09:32:00,209.94608,208.07588,206.20569,209.66949,209.99001,209.39999,209.78999,118339
2023-04-26 09:31:00,209.69149,207.99338,206.29527,210.81000,210.89999,209.53000,209.69000,168833
2023-04-26 09:30:00,209.43995,207.92238,206.40481,212.50000,212.55000,210.77000,210.89000,867906
2023-04-25 15:59:00,208.50411,207.79338,207.08265,207.53819,207.55000,207.36000,207.53900,356066
2023-04-25 15:58:00,208.55951,207.82993,207.10035,207.49001,207.60001,207.48000,207.53120,124878
2023-04-25 15:57:00,208.60855,207.86737,207.12619,207.14999,207.57001,207.13499,207.48000,152824
2023-04-25 15:56:00,208.63768,207.90412,207.17056,207.27000,207.27000,207.13000,207.16000,99844
2023-04-25 15:55:00,208.62431,207.95962,207.29493,207.38000,207.38000,207.17999,207.27000,159396
2023-04-25 15:54:00,208.61983,208.01412,207.40841,207.36000,207.47000,207.25000,207.36000,102441
2023-04-25 15:53:00,208.59994,208.06162,207.52330,207.57001,207.57001,207.31000,207.36000,120695
2023-04-25 15:52:00,208.55707,208.11137,207.66566,207.78000,207.84000,207.56000,207.56750,95332
2023-04-25 15:51:00,208.54109,208.15349,207.76589,207.82001,207.88000,207.75000,207.77499,90220
2023-04-25 15:50:00,208.52145,208.17474,207.82803,207.70000,207.81000,207.57001,207.81000,119795
2023-04-25 15:49:00,208.50882,208.20024,207.89167,207.99001,208.00000,207.72000,207.73500,58452
2023-04-25 15:48:00,208.44909,208.22599,208.00290,208.11000,208.14000,207.92000,207.98000,54587
2023-04-25 15:47:00,208.43034,208.23749,208.04465,208.02000,208.17000,207.99001,208.12000,45863
2023-04-25 15:46:00,208.43327,208.24650,208.05972,208.14999,208.16000,207.97000,208.03000,44541
2023-04-25 15:45:00,208.46920,208.27150,208.07379,208.10001,208.28000,208.00999,208.12000,38921
2023-04-25 15:44:00,208.52429,208.29500,208.06570,208.23000,208.25999,207.95000,208.09000,48496
2023-04-25 15:43:00,208.58190,208.32325,208.06460,208.13000,208.25000,208.09000,208.22000,38197
2023-04-25 15:42:00,208.60402,208.33774,208.07147,208.25000,208.25000,208.11000,208.13989,26817
2023-04-25 15:41:00,208.61984,208.35726,208.09467,208.32001,208.36990,208.23000,208.27000,35684
2023-04-25 15:40:00,208.69988,208.38276,208.06563,208.27000,208.35001,208.25011,208.31000,36020
2023-04-25 15:39:00,208.77679,208.40842,208.04006,208.28999,208.34000,208.22501,208.27000,28586
2023-04-25 15:38:00,208.79656,208.42492,208.05329,208.20219,208.28999,208.19170,208.28000,21569
